!MOLECULE
HF
!MOLECULAR WEIGHT
20.
! NUMBER OF ENERGY LEVELS
16
26  8  3 9.75e-15 1.03e-14 1.20e-14 1.68e-14 2.80e-14 3.85e-14 1.26e-13 2.61e-13 
27  8  2 2.95e-15 3.10e-15 3.63e-15 5.08e-15 8.68e-15 1.21e-14 4.39e-14 9.68e-14 
28  8  1 6.91e-16 7.30e-16 8.53e-16 1.20e-15 2.07e-15 2.91e-15 1.10e-14 2.55e-14 
29  9  8 4.47e-12 4.63e-12 5.09e-12 6.40e-12 9.02e-12 1.10e-11 2.23e-11 3.37e-11 
30  9  7 4.33e-13 4.52e-13 5.12e-13 6.78e-13 1.04e-12 1.34e-12 3.39e-12 5.89e-12 
31  9  6 6.62e-14 6.92e-14 8.00e-14 1.10e-13 1.77e-13 2.38e-13 7.14e-13 1.42e-12 
32  9  5 1.81e-14 1.90e-14 2.21e-14 3.09e-14 5.21e-14 7.18e-14 2.44e-13 5.42e-13 
33  9  4 6.03e-15 6.35e-15 7.47e-15 1.06e-14 1.83e-14 2.56e-14 9.22e-14 2.15e-13 
34  9  3 2.00e-15 2.11e-15 2.50e-15 3.60e-15 6.39e-15 9.11e-15 3.60e-14 9.15e-14 
35  9  2 6.78e-16 7.16e-16 8.52e-16 1.23e-15 2.23e-15 3.24e-15 1.38e-14 3.67e-14 
36  9  1 1.77e-16 1.90e-16 2.25e-16 3.25e-16 5.88e-16 8.53e-16 3.74e-15 1.03e-14
! PARTNER 2, collisions between:
4 HF + e-  !   Electron-impact excitation cross sections for radiatively allowed transitions
! NUMBER OF COLLISIONAL TRANSITIONS
19
! NUMBER OF COLLISIONAL TEMPERATURES
12
! COLLISIONAL TEMPERATURES
   10.0     20.0     30.0     50.0     75.0    100.0    150.0    200.0    300.0    500.0    750.0   1000.0 
! COLLISION RATES
 1     2     1  7.4E-07  1.2E-06  1.4E-06  1.5E-06  1.4E-06  1.2E-06  8.8E-07  6.9E-07  5.0E-07  4.2E-07  4.1E-07  3.8E-07
