                   H2O_161                       H2O_181                  H2O_171                    H2O_162                    CO2_626                      CO_26                      CO_36                      CO_28                      CO_27                     CH4_211                       NH3_4111                 OH_61                         OCS_622                   H2CO_126                  HCN_124                      C2H2_1221    	      CH3OH_2161   HD		O                    HF_19             HCL_15                C2H4_38                     C2H6_90 
                     H2O                         H218O                    H217O		             HDO         		CO2	                     12CO                       13CO                       C18O                       C17O                      CH4                           NH3                      OH                            OCS                       H2CO                      HCN                          C2H2       	      CH3OH	   HD		O                    HF                HCL                   C2H4                        C2H6 
                     18                          20                       19                         19                         48                           28                         29                         30                         29                        16                            17                       17                            60                        30                        27                           26       	              32	   3		16                   15                36                    28                          30
  82.0           26.368128                  25.584297                 152.885632                 122.922407       	     73.268287  		  29.867948		     62.459111  		31.347711		  183.805623		     86.809501  		  253.209725		     24.165375  		 281.643975		   413.508443		      233.605516		   97.652661	  	11145.375000	 1.65351      5.2084619  	  12.531226	    46.464482	 	1529.22571000	    	    7574.39656000
  83.0           26.833048                  26.053137                 155.687448                 125.221319       	     74.161127  		  30.228292		     63.213063  		31.726135		  186.023703		     88.372326  		  257.752685		     24.366927  		 285.091495		   421.037003		      236.433516		   98.838253	  	11349.506840	 1.66553      5.2158013  	  12.665111	    46.996281	 	1557.22473000	    	    7715.60324000
  84.0           27.300672                  26.524705                 158.505569                 127.533850       	     75.054031  		  30.588643		     63.967026  		32.104565		  188.241831		     89.944492  		  262.322781		     24.569802  		 288.540166		   428.610859		      239.261676		  100.024033	  	11554.874020	 1.67763      5.2232190  	  12.799035	    47.528121	 	1585.39319000	    	    7857.81663000
  85.0           27.771000                  26.999001                 161.339996                 129.860001       	     75.946999  		  30.948999		     64.721001  		32.483002		  190.460007		     91.526001  		  266.920013		     24.774000  		 291.989990		   436.230011		      242.089996		  101.209999	  	11761.590275	 1.68982      5.2307118  	  12.933000	    48.060001	 	1613.73047000	    	    8001.11633000
  86.0           28.245270                  27.477283                 164.198190                 132.206440       	     76.839345  		  31.309363		     65.475013  		32.861451		  192.678230		     93.121665  		  271.558026		     24.981612  		 295.431514		   443.917222		      244.917079		  102.394203	  	11969.412663	 1.70210      5.2382769  	  13.067109	    48.592008	 	1642.23523000	    	    8145.42577000
  87.0           28.722232                  27.958280                 167.072619                 134.566434       	     77.731762  		  31.669732		     66.229036  		33.239908		  194.896502		     94.726625  		  276.223044		     25.190526  		 298.874281		   451.649510		      247.744335		  103.578612	  	12178.447953	 1.71446      5.2459114  	  13.201256	    49.124053	 	1670.90649000	    	    8290.74528000
  88.0           29.201874                  28.441982                 169.963209                 136.939919       	     78.624256  		  32.030108		     66.983070  		33.618370		  197.114821		     96.340834  		  280.914935		     25.400724  		 302.318382		   459.426656		      250.571778		  104.763246	  	12388.696156	 1.72692      5.2536124  	  13.335442	    49.656137	 	1699.74365000	    	    8437.15909000
  89.0           29.684185                  28.928376                 172.869889                 139.326831       	     79.516834  		  32.390491		     67.737114  		33.996839		  199.333189		     97.964248  		  285.633569		     25.612185  		 305.763908		   467.248442		      253.399421		  105.948123	  	12600.143580	 1.73947      5.2613770  	  13.469664	    50.188259	 	1728.74561000	    	    8584.58685000
  90.0           30.169152                  29.417449                 175.792588                 141.727105       	     80.409503  		  32.750879		     68.491168  		34.375313		  201.551604		     99.596818  		  290.378814		     25.824888  		 309.210949		   475.114647		      256.227278		  107.133263	  	12812.786327	 1.75210      5.2692027  	  13.603921	    50.720417	 	1757.91162000	    	    8733.02929000
  91.0           30.656764                  29.909189                 178.731234                 144.140678       	     81.302268  		  33.111275		     69.245232  		34.753794		  203.770068		    101.238500  		  295.150539		     26.038814  		 312.659596		   483.025055		      259.055362		  108.318684	  	13026.618545	 1.76483      5.2770866  	  13.738213	    51.252611	 	1787.24036000	    	    8882.57532000
  92.0           31.147008                  30.403585                 181.685756                 146.567486       	     82.195137  		  33.471676		     69.999306  		35.132281		  205.988579		    102.889247  		  299.948612		     26.253943  		 316.109941		   490.979445		      261.883687		  109.504404	  	13241.633395	 1.77766      5.2850261  	  13.872539	    51.784840	 	1816.73120000	    	    9033.14071000
  93.0           31.639873                  30.900624                 184.656080                 149.007464       	     83.088116  		  33.832084		     70.753389  		35.510774		  208.207139		    104.549011  		  304.772903		     26.470254  		 319.562074		   498.977599		      264.712266		  110.690443	  	13457.958604	 1.79057      5.2930187  	  14.006898	    52.317103	 	1846.38342000	    	    9184.81754000
  94.0           32.135346                  31.400295                 187.642137                 151.460548       	     83.981212  		  34.192499		     71.507482  		35.889272		  210.425746		    106.217749  		  309.623281		     26.687728  		 323.016086		   507.019298		      267.541113		  111.876819	  	13675.321351	 1.80358      5.3010618  	  14.141288	    52.849399	 	1876.19617000	    	    9337.51895000
  95.0           32.633416                  31.902584                 190.643853                 153.926674       	     84.874431  		  34.552919		     72.261583  		36.267777		  212.644401		    107.895412  		  314.499614		     26.906344  		 326.472067		   515.104323		      270.370240		  113.063551	  	13893.847211	 1.81669      5.3091529  	  14.275709	    53.381728	 	1906.18727000	    	    9491.24626000
  96.0           33.134072                  32.407481                 193.661157                 156.405778       	     85.767780  		  34.913346		     73.015693  		36.646287		  214.863105		    109.581955  		  319.401771		     27.126083  		 329.930110		   523.232455		      273.199662		  114.250658	  	14113.529335	 1.82989      5.3172897  	  14.410159	    53.914089	 	1936.31831000	    	    9646.09634000
  97.0           33.637300                  32.914973                 196.693978                 158.897795       	     86.661266  		  35.273780		     73.769812  		37.024803		  217.081856		    111.277331  		  324.329620		     27.346923  		 333.390304		   531.403476		      276.029392		  115.438158	  	14334.508152	 1.84318      5.3254699  	  14.544638	    54.446480	 	1966.60744000	    	    9802.07519000
  98.0           34.143090                  33.425047                 199.742243                 161.402663       	     87.554894  		  35.634220		     74.523938  		37.403325		  219.300656		    112.981494  		  329.283031		     27.568845  		 336.852741		   539.617166		      278.859442		  116.626070	  	14556.493322	 1.85657      5.3336910  	  14.679144	    54.978902	 	1997.05403000	    	    9959.09056000
  99.0           34.651429                  33.937692                 202.805882                 163.920316       	     88.448673  		  35.994666		     75.278073  		37.781852		  221.519503		    114.694398  		  334.261873		     27.791830  		 340.317512		   547.873307		      281.689828		  117.814414	  	14779.616225	 1.87006      5.3419508  	  14.813677	    55.511353	 	2027.65675000	    	   10117.14422000
 100.0           35.162305                  34.452896                 205.884822                 166.450690       	     89.342607  		  36.355119		     76.032215  		38.160384		  223.738398		    116.415997  		  339.266014		     28.015856  		 343.784706		   556.171679		      284.520562		  119.003207	  	15004.024937	 1.88365      5.3502473  	  14.948235	    56.043832	 	2058.41487000	    	   10276.33951000
 101.0           35.675706                  34.970647                 208.978991                 168.993722       	     90.236705  		  36.715578		     76.786364  		38.538922		  225.957342		    118.146244  		  344.295322		     28.240904  		 347.254416		   564.512064		      287.351657		  120.192469	  	15229.414812	 1.89733      5.3585781  	  15.082818	    56.576338	 	2089.32777000	    	   10436.57999000
 102.0           36.191621                  35.490932                 212.088317                 171.549346       	     91.130972  		  37.076044		     77.540520  		38.917466		  228.176333		    119.885093  		  349.349668		     28.466954  		 350.726732		   572.894243		      290.183128		  121.382217	  	15456.082335	 1.91112      5.3669414  	  15.217424	    57.108872	 	2120.39474000	    	   10597.86777000
 103.0           36.710038                  36.013739                 215.212730                 174.117500       	     92.025415  		  37.436516		     78.294684  		39.296015		  230.395373		    121.632498  		  354.428919		     28.693985  		 354.201745		   581.317997		      293.014987		  122.572472	  	15683.717737	 1.92501      5.3753349  	  15.352053	    57.641431	 	2151.61503000	    	   10760.31106000
 104.0           37.230945                  36.539057                 218.352157                 176.698119       	     92.920041  		  37.796994		     79.048854  		39.674569		  232.614460		    123.388412  		  359.532945		     28.921978  		 357.679546		   589.783108		      295.847248		  123.763252	  	15912.620720	 1.93899      5.3837569  	  15.486704	    58.174015	 	2183.00997000	    	   10923.91678000
 105.0           37.754329                  37.066872                 221.506527                 179.291138       	     93.814856  		  38.157479		     79.803030  		40.053128		  234.833595		    125.152790  		  364.661614		     29.150912  		 361.160226		   598.289355		      298.679924		  124.954575	  	16142.479231	 1.95308      5.3922053  	  15.621374	    58.706623	 	2214.53550000	    	   11088.58283000
 106.0           38.280179                  37.597174                 224.675767                 181.896494       	     94.709866  		  38.517970		     80.557212  		40.431692		  237.052779		    126.925584  		  369.814794		     29.380768  		 364.643875		   606.836521		      301.513029		  126.146460	  	16373.604082	 1.96727      5.4006782  	  15.756065	    59.239255	 	2246.21142000	    	   11254.31173000
 107.0           38.808483                  38.129950                 227.859806                 184.514123       	     95.605080  		  38.878468		     81.311401  		40.810261		  239.272010		    128.706749  		  374.992356		     29.611524  		 368.130584		   615.424387		      304.346576		  127.338926	  	16605.828360	 1.98156      5.4091739  	  15.890773	    59.771909	 	2278.03824000	    	   11421.21831000
 108.0           39.339230                  38.665187                 231.058572                 187.143960       	     96.500502  		  39.238972		     82.065594  		41.188836		  241.491290		    130.496239  		  380.194167		     29.843162  		 371.620446		   624.052733		      307.180579		  128.531992	  	16839.146247	 1.99596      5.4176907  	  16.025500	    60.304585	 	2310.01471000	    	   11589.19614000
 109.0           39.872406                  39.202875                 234.271994                 189.785941       	     97.396140  		  39.599482		     82.819793  		41.567415		  243.710617		    132.294007  		  385.420097		     30.075660  		 375.113549		   632.721342		      310.015051		  129.725676	  	17073.558745	 2.01046      5.4262267  	  16.160242	    60.837282	 	2342.16377000	    	   11758.24798000
 110.0           40.408001                  39.743000                 237.500000                 192.440002       	     98.292000  		  39.959999		     83.573997  		41.945999		  245.929993		    134.100006  		  390.670013		     30.309000  		 378.609985		   641.429993		      312.850006		  130.919998	  	17308.888916	 2.02507      5.4347803  	  16.295000	    61.369999	 	2374.43817000	    	   11928.49371000
